"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2020-03",5.220101,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.358871,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.068942,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.440282,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.479592,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.846681,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.939229,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.6,
"AUT","HUR","TOT","PC_LF","M","2020-04",4.7,
"AUT","HUR","TOT","PC_LF","M","2020-05",5.7,
"AUT","HUR","TOT","PC_LF","M","2020-06",5.9,
"AUT","HUR","TOT","PC_LF","M","2020-07",5.6,
"AUT","HUR","TOT","PC_LF","M","2020-08",5.4,
"AUT","HUR","TOT","PC_LF","M","2020-09",5.5,
"BEL","HUR","TOT","PC_LF","M","2020-03",5,
"BEL","HUR","TOT","PC_LF","M","2020-04",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-05",5,
"BEL","HUR","TOT","PC_LF","M","2020-06",5,
"BEL","HUR","TOT","PC_LF","M","2020-07",5,
"BEL","HUR","TOT","PC_LF","M","2020-08",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-09",5.2,
"CAN","HUR","TOT","PC_LF","M","2020-03",7.8,
"CAN","HUR","TOT","PC_LF","M","2020-04",13,
"CAN","HUR","TOT","PC_LF","M","2020-05",13.7,
"CAN","HUR","TOT","PC_LF","M","2020-06",12.3,
"CAN","HUR","TOT","PC_LF","M","2020-07",10.9,
"CAN","HUR","TOT","PC_LF","M","2020-08",10.2,
"CAN","HUR","TOT","PC_LF","M","2020-09",9,
"CZE","HUR","TOT","PC_LF","M","2020-03",2.1,
"CZE","HUR","TOT","PC_LF","M","2020-04",2.2,
"CZE","HUR","TOT","PC_LF","M","2020-05",2.4,
"CZE","HUR","TOT","PC_LF","M","2020-06",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-07",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-08",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-09",2.8,
"DNK","HUR","TOT","PC_LF","M","2020-03",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-04",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-05",5.5,
"DNK","HUR","TOT","PC_LF","M","2020-06",6,
"DNK","HUR","TOT","PC_LF","M","2020-07",6.3,
"DNK","HUR","TOT","PC_LF","M","2020-08",6.2,
"DNK","HUR","TOT","PC_LF","M","2020-09",6.1,
"FIN","HUR","TOT","PC_LF","M","2020-03",6.7,
"FIN","HUR","TOT","PC_LF","M","2020-04",7.3,
"FIN","HUR","TOT","PC_LF","M","2020-05",8,
"FIN","HUR","TOT","PC_LF","M","2020-06",7.9,
"FIN","HUR","TOT","PC_LF","M","2020-07",8.6,
"FIN","HUR","TOT","PC_LF","M","2020-08",8.5,
"FIN","HUR","TOT","PC_LF","M","2020-09",8.4,
"FRA","HUR","TOT","PC_LF","M","2020-03",7.5,
"FRA","HUR","TOT","PC_LF","M","2020-04",7.8,
"FRA","HUR","TOT","PC_LF","M","2020-05",6.9,
"FRA","HUR","TOT","PC_LF","M","2020-06",6.6,
"FRA","HUR","TOT","PC_LF","M","2020-07",7.1,
"FRA","HUR","TOT","PC_LF","M","2020-08",7.5,
"FRA","HUR","TOT","PC_LF","M","2020-09",7.9,
"DEU","HUR","TOT","PC_LF","M","2020-03",3.8,
"DEU","HUR","TOT","PC_LF","M","2020-04",4,
"DEU","HUR","TOT","PC_LF","M","2020-05",4.2,
"DEU","HUR","TOT","PC_LF","M","2020-06",4.4,
"DEU","HUR","TOT","PC_LF","M","2020-07",4.5,
"DEU","HUR","TOT","PC_LF","M","2020-08",4.5,
"DEU","HUR","TOT","PC_LF","M","2020-09",4.5,
"GRC","HUR","TOT","PC_LF","M","2020-03",14.3,
"GRC","HUR","TOT","PC_LF","M","2020-04",15.9,
"GRC","HUR","TOT","PC_LF","M","2020-05",17.1,
"GRC","HUR","TOT","PC_LF","M","2020-06",18,
"GRC","HUR","TOT","PC_LF","M","2020-07",16.8,
"HUN","HUR","TOT","PC_LF","M","2020-03",3.7,
"HUN","HUR","TOT","PC_LF","M","2020-04",4.1,
"HUN","HUR","TOT","PC_LF","M","2020-05",4.8,
"HUN","HUR","TOT","PC_LF","M","2020-06",4.9,
"HUN","HUR","TOT","PC_LF","M","2020-07",4.6,
"HUN","HUR","TOT","PC_LF","M","2020-08",4.4,
"ISL","HUR","TOT","PC_LF","M","2020-03",3.5,
"ISL","HUR","TOT","PC_LF","M","2020-04",3.9,
"ISL","HUR","TOT","PC_LF","M","2020-05",4.5,
"ISL","HUR","TOT","PC_LF","M","2020-06",4.5,
"ISL","HUR","TOT","PC_LF","M","2020-07",5,
"ISL","HUR","TOT","PC_LF","M","2020-08",5,
"ISL","HUR","TOT","PC_LF","M","2020-09",5.6,
"IRL","HUR","TOT","PC_LF","M","2020-03",5,
"IRL","HUR","TOT","PC_LF","M","2020-04",4.8,
"IRL","HUR","TOT","PC_LF","M","2020-05",4.8,
"IRL","HUR","TOT","PC_LF","M","2020-06",5,
"IRL","HUR","TOT","PC_LF","M","2020-07",5.2,
"IRL","HUR","TOT","PC_LF","M","2020-08",5.2,
"IRL","HUR","TOT","PC_LF","M","2020-09",5.4,
"ITA","HUR","TOT","PC_LF","M","2020-03",8.5,
"ITA","HUR","TOT","PC_LF","M","2020-04",7.3,
"ITA","HUR","TOT","PC_LF","M","2020-05",8.7,
"ITA","HUR","TOT","PC_LF","M","2020-06",9.4,
"ITA","HUR","TOT","PC_LF","M","2020-07",9.8,
"ITA","HUR","TOT","PC_LF","M","2020-08",9.7,
"ITA","HUR","TOT","PC_LF","M","2020-09",9.6,
"JPN","HUR","TOT","PC_LF","M","2020-03",2.5,
"JPN","HUR","TOT","PC_LF","M","2020-04",2.6,
"JPN","HUR","TOT","PC_LF","M","2020-05",2.9,
"JPN","HUR","TOT","PC_LF","M","2020-06",2.8,
"JPN","HUR","TOT","PC_LF","M","2020-07",2.9,
"JPN","HUR","TOT","PC_LF","M","2020-08",3,
"JPN","HUR","TOT","PC_LF","M","2020-09",3,
"KOR","HUR","TOT","PC_LF","M","2020-03",3.8,
"KOR","HUR","TOT","PC_LF","M","2020-04",3.8,
"KOR","HUR","TOT","PC_LF","M","2020-05",4.5,
"KOR","HUR","TOT","PC_LF","M","2020-06",4.3,
"KOR","HUR","TOT","PC_LF","M","2020-07",4.2,
"KOR","HUR","TOT","PC_LF","M","2020-08",3.2,
"KOR","HUR","TOT","PC_LF","M","2020-09",3.9,
"LUX","HUR","TOT","PC_LF","M","2020-03",6.5,
"LUX","HUR","TOT","PC_LF","M","2020-04",7.4,
"LUX","HUR","TOT","PC_LF","M","2020-05",7.6,
"LUX","HUR","TOT","PC_LF","M","2020-06",7.6,
"LUX","HUR","TOT","PC_LF","M","2020-07",7.2,
"LUX","HUR","TOT","PC_LF","M","2020-08",6.8,
"LUX","HUR","TOT","PC_LF","M","2020-09",6.7,
"MEX","HUR","TOT","PC_LF","M","2020-03",3.249323,"B"
"MEX","HUR","TOT","PC_LF","M","2020-04",4.804397,
"MEX","HUR","TOT","PC_LF","M","2020-05",4.309024,
"MEX","HUR","TOT","PC_LF","M","2020-06",5.506817,"B"
"MEX","HUR","TOT","PC_LF","M","2020-07",5.148562,
"MEX","HUR","TOT","PC_LF","M","2020-08",4.967234,
"MEX","HUR","TOT","PC_LF","M","2020-09",4.689714,
"NLD","HUR","TOT","PC_LF","M","2020-03",2.9,
"NLD","HUR","TOT","PC_LF","M","2020-04",3.4,
"NLD","HUR","TOT","PC_LF","M","2020-05",3.6,
"NLD","HUR","TOT","PC_LF","M","2020-06",4.3,
"NLD","HUR","TOT","PC_LF","M","2020-07",4.5,
"NLD","HUR","TOT","PC_LF","M","2020-08",4.6,
"NLD","HUR","TOT","PC_LF","M","2020-09",4.4,
"NOR","HUR","TOT","PC_LF","M","2020-03",3.6,
"NOR","HUR","TOT","PC_LF","M","2020-04",4.1,
"NOR","HUR","TOT","PC_LF","M","2020-05",4.6,
"NOR","HUR","TOT","PC_LF","M","2020-06",5.2,
"NOR","HUR","TOT","PC_LF","M","2020-07",5.2,
"NOR","HUR","TOT","PC_LF","M","2020-08",5.3,
"POL","HUR","TOT","PC_LF","M","2020-03",3,
"POL","HUR","TOT","PC_LF","M","2020-04",3.2,
"POL","HUR","TOT","PC_LF","M","2020-05",3.3,
"POL","HUR","TOT","PC_LF","M","2020-06",3.3,
"POL","HUR","TOT","PC_LF","M","2020-07",3.2,
"POL","HUR","TOT","PC_LF","M","2020-08",3.1,
"POL","HUR","TOT","PC_LF","M","2020-09",3.1,
"PRT","HUR","TOT","PC_LF","M","2020-03",6.2,
"PRT","HUR","TOT","PC_LF","M","2020-04",6.3,
"PRT","HUR","TOT","PC_LF","M","2020-05",5.9,
"PRT","HUR","TOT","PC_LF","M","2020-06",7.3,
"PRT","HUR","TOT","PC_LF","M","2020-07",7.9,
"PRT","HUR","TOT","PC_LF","M","2020-08",8.1,
"PRT","HUR","TOT","PC_LF","M","2020-09",7.7,
"SVK","HUR","TOT","PC_LF","M","2020-03",6,
"SVK","HUR","TOT","PC_LF","M","2020-04",6.7,
